"defend_type	defend_type2 PKMN	Nor	Fir	Wat	Ele	Gra	Ice	Fig	Poi	Gro	Fly	Psy	Bug	Roc	Gho	Dra	Dar	Ste	Fai"
"Ghost Bug	1	0	2	1	1	0.5	1	0	0.5	0.5	2	1	0.5	2	2	1	2	1	1"
"Ghost Rock	0	0	0.5	2	1	2	1	0	0.25	2	0.5	1	0.5	1	2	1	2	2	1"
"Ghost Dragon	2	0	0.5	0.5	0.5	0.5	2	0	0.5	1	1	1	0.5	1	2	2	2	1	2"
"Ghost Dark	3	0	1	1	1	1	1	0	0.5	1	1	0	1	1	1	1	1	1	2"
"Ghost Steel	4	0	2	1	1	0.5	0.5	0	0	2	0.5	0.5	0.25	0.5	2	0.5	2	0.5	0.5"
"Ghost Fairy	1	0	1	1	1	1	1	0	1	1	1	1	0.25	1	2	0	1	2	1"
"Dragon None	12	1	0.5	0.5	0.5	0.5	2	1	1	1	1	1	1	1	1	2	1	1	2"
"Dragon Normal	1	1	0.5	0.5	0.5	0.5	2	2	1	1	1	1	1	1	0	2	1	1	2"
"Dragon Fire	3	1	0.25	1	0.5	0.25	1	1	1	2	1	1	0.5	2	1	2	1	0.5	1"
"Dragon Water	2	1	0.25	0.25	1	1	1	1	1	1	1	1	1	1	1	2	1	0.5	2"
"Dragon Electric	2	1	0.5	0.5	0.25	0.5	2	1	1	2	0.5	1	1	1	1	2	1	0.5	2"
"Dragon Grass	2	1	1	0.25	0.25	0.25	4	1	2	0.5	2	1	2	1	1	2	1	1	2"
"Dragon Ice	3	1	1	0.5	0.5	0.5	1	2	1	1	1	1	1	2	1	2	1	2	2"
"Dragon Fighting	2	1	0.5	0.5	0.5	0.5	2	1	1	1	2	2	0.5	0.5	1	2	0.5	1	4"
"Dragon Poison	2	1	0.5	0.5	0.5	0.25	2	0.5	0.5	2	1	2	0.5	1	1	2	1	1	1"
"Dragon Ground	9	1	0.5	1	0	1	4	1	0.5	1	1	1	1	0.5	1	2	1	1	2"
"Dragon Flying	8	1	0.5	0.5	1	0.25	4	0.5	1	0	1	1	0.5	2	1	2	1	1	2"
"Dragon Psychic	5	1	0.5	0.5	0.5	0.5	2	0.5	1	1	1	0.5	2	1	2	2	2	1	2"
"Dragon Bug	0	1	1	0.5	0.5	0.25	2	0.5	1	0.5	2	1	1	2	1	2	1	1	2"
"Dragon Rock	2	0.5	0.25	1	0.5	1	2	2	0.5	2	0.5	1	1	1	1	2	1	2	2"
"Dragon Ghost	2	0	0.5	0.5	0.5	0.5	2	0	0.5	1	1	1	0.5	1	2	2	2	1	2"
"Dragon Dark	4	1	0.5	0.5	0.5	0.5	2	2	1	1	1	0	2	1	0.5	2	0.5	1	4"
"Dragon Steel	1	0.5	1	0.5	0.5	0.25	1	2	0	2	0.5	0.5	0.5	0.5	1	1	1	0.5	1"
"Dragon Fairy	1	1	0.5	0.5	0.5	0.5	2	0.5	2	1	1	1	0.5	1	1	0	0.5	2	2"
"Dark None	12	1	1	1	1	1	1	2	1	1	1	0	2	1	0.5	1	0.5	1	2"
"Dark Normal	2	1	1	1	1	1	1	4	1	1	1	0	2	1	0	1	0.5	1	2"
"Dark Fire	4	1	0.5	2	1	0.5	0.5	2	1	2	1	0	1	2	0.5	1	0.5	0.5	1"
"Dark Water	7	1	0.5	0.5	2	2	0.5	2	1	1	1	0	2	1	0.5	1	0.5	0.5	2"
"Dark Electric	0	1	1	1	0.5	1	1	2	1	2	0.5	0	2	1	0.5	1	0.5	0.5	2"
"Dark Grass	3	1	2	0.5	0.5	0.5	2	2	2	0.5	2	0	4	1	0.5	1	0.5	1	2"
"Dark Ice	2	1	2	1	1	1	0.5	4	1	1	1	0	2	2	0.5	1	0.5	2	2"
"Dark Fighting	3	1	1	1	1	1	1	2	1	1	2	0	1	0.5	0.5	1	0.25	1	4"
"Dark Poison	5	1	1	1	1	0.5	1	1	0.5	2	1	0	1	1	0.5	1	0.5	1	1"
"Dark Ground	3	1	1	2	0	2	2	2	0.5	1	1	0	2	0.5	0.5	1	0.5	1	2"
"Dark Flying	5	1	1	1	2	0.5	2	1	1	0	1	0	1	2	0.5	1	0.5	1	2"
"Dark Psychic	3	1	1	1	1	1	1	1	1	1	1	0	4	1	1	1	1	1	2"
"Dark Bug	0	1	2	1	1	0.5	1	1	1	0.5	2	0	2	2	0.5	1	0.5	1	2"
"Dark Rock	2	0.5	0.5	2	1	2	1	4	0.5	2	0.5	0	2	1	0.5	1	0.5	2	2"
"Dark Ghost	3	0	1	1	1	1	1	0	0.5	1	1	0	1	1	1	1	1	1	2"
"Dark Dragon	4	1	0.5	0.5	0.5	0.5	2	2	1	1	1	0	2	1	0.5	2	0.5	1	4"
"Dark Steel	2	0.5	2	1	1	0.5	0.5	4	0	2	0.5	0	1	0.5	0.5	0.5	0.5	0.5	1"
"Dark Fairy	0	1	1	1	1	1	1	1	2	1	1	0	1	1	0.5	0	0.25	2	2"
"Steel None	7	0.5	2	1	1	0.5	0.5	2	0	2	0.5	0.5	0.5	0.5	1	0.5	1	0.5	0.5"
"Steel Normal	0	0.5	2	1	1	0.5	0.5	4	0	2	0.5	0.5	0.5	0.5	0	0.5	1	0.5	0.5"
"Steel Fire	1	0.5	1	2	1	0.25	0.25	2	0	4	0.5	0.5	0.25	1	1	0.5	1	0.25	0.25"
"Steel Water	1	0.5	1	0.5	2	1	0.25	2	0	2	0.5	0.5	0.5	0.5	1	0.5	1	0.25	0.5"
"Steel Electric	4	0.5	2	1	0.5	0.5	0.5	2	0	4	0.25	0.5	0.5	0.5	1	0.5	1	0.25	0.5"
"Steel Grass	3	0.5	4	0.5	0.5	0.25	1	2	0	1	1	0.5	1	0.5	1	0.5	1	0.5	0.5"
"Steel Ice	2	0.5	4	1	1	0.5	0.25	4	0	2	0.5	0.5	0.5	1	1	0.5	1	1	0.5"
"Steel Fighting	3	0.5	2	1	1	0.5	0.5	2	0	2	1	1	0.25	0.25	1	0.5	0.5	0.5	1"
"Steel Poison	0	0.5	2	1	1	0.25	0.5	1	0	4	0.5	1	0.25	0.5	1	0.5	1	0.5	0.25"
"Steel Ground	5	0.5	2	2	0	1	1	2	0	2	0.5	0.5	0.5	0.25	1	0.5	1	0.5	0.5"
"Steel Flying	2	0.5	2	1	2	0.25	1	1	0	0	0.5	0.5	0.25	1	1	0.5	1	0.5	0.5"
"Steel Psychic	9	0.5	2	1	1	0.5	0.5	1	0	2	0.5	0.25	1	0.5	2	0.5	2	0.5	0.5"
"Steel Bug	7	0.5	4	1	1	0.25	0.5	1	0	1	1	0.5	0.5	1	1	0.5	1	0.5	0.5"
"Steel Rock	7	0.25	1	2	1	1	0.5	4	0	4	0.25	0.5	0.5	0.5	1	0.5	1	1	0.5"
"Steel Ghost	4	0	2	1	1	0.5	0.5	0	0	2	0.5	0.5	0.25	0.5	2	0.5	2	0.5	0.5"
"Steel Dragon	1	0.5	1	0.5	0.5	0.25	1	2	0	2	0.5	0.5	0.5	0.5	1	1	1	0.5	1"
"Steel Dark	2	0.5	2	1	1	0.5	0.5	4	0	2	0.5	0	1	0.5	0.5	0.5	0.5	0.5	1"
"Steel Fairy	4	0.5	2	1	1	0.5	0.5	1	0	2	0.5	0.5	0.25	0.5	1	0	0.5	1	0.5"
"Fairy None	16	1	1	1	1	1	1	0.5	2	1	1	1	0.5	1	1	0	0.5	2	1"
"Fairy Normal	5	1	1	1	1	1	1	1	2	1	1	1	0.5	1	0	0	0.5	2	1"
"Fairy Fire	0	1	0.5	2	1	0.5	0.5	0.5	2	2	1	1	0.25	2	1	0	0.5	1	0.5"
"Fairy Water	4	1	0.5	0.5	2	2	0.5	0.5	2	1	1	1	0.5	1	1	0	0.5	1	1"
"Fairy Electric	2	1	1	1	0.5	1	1	0.5	2	2	0.5	1	0.5	1	1	0	0.5	1	1"
"Fairy Grass	5	1	2	0.5	0.5	0.5	2	0.5	4	0.5	2	1	1	1	1	0	0.5	2	1"
"Fairy Ice	1	1	2	1	1	1	0.5	1	2	1	1	1	0.5	2	1	0	0.5	4	1"
"Fairy Fighting	0	1	1	1	1	1	1	0.5	2	1	2	2	0.25	0.5	1	0	0.25	2	2"
"Fairy Poison	0	1	1	1	1	0.5	1	0.25	1	2	1	2	0.25	1	1	0	0.5	2	0.5"
"Fairy Ground	0	1	1	2	0	2	2	0.5	1	1	1	1	0.5	0.5	1	0	0.5	2	1"
"Fairy Flying	2	1	1	1	2	0.5	2	0.25	2	0	1	1	0.25	2	1	0	0.5	2	1"
"Fairy Psychic	7	1	1	1	1	1	1	0.25	2	1	1	0.5	1	1	2	0	1	2	1"
"Fairy Bug	2	1	2	1	1	0.5	1	0.25	2	0.5	2	1	0.5	2	1	0	0.5	2	1"
"Fairy Rock	3	0.5	0.5	2	1	2	1	1	1	2	0.5	1	0.5	1	1	0	0.5	4	1"
"Fairy Ghost	1	0	1	1	1	1	1	0	1	1	1	1	0.25	1	2	0	1	2	1"
"Fairy Dragon	1	1	0.5	0.5	0.5	0.5	2	0.5	2	1	1	1	0.5	1	1	0	0.5	2	2"
"Fairy Dark	0	1	1	1	1	1	1	1	2	1	1	0	1	1	0.5	0	0.25	2	2"
"Fairy Steel	4	0.5	2	1	1	0.5	0.5	1	0	2	0.5	0.5	0.25	0.5	1	0	0.5	1	0.5"
